week,location,average_price
28/12/2019,Kolkata,152.94(151.87)
28/12/2019,Guwahati,134.25(133.51)
28/12/2019,Siliguri,135.65(142.60)
28/12/2019,Jalpaiguri,NS(NS)
28/12/2019,mjunction,
28/12/2019,Cochin,116.47 (NS)
28/12/2019,Coonoor,NS(NS)
28/12/2019,Coimbatore,NS(NS)
28/12/2019,Tea Serve,67.76(88.46)
21/12/2019,Kolkata,154.19(154.33)
21/12/2019,Guwahati,138.83(137.02)
21/12/2019,Siliguri,135.58(144.23)
21/12/2019,Jalpaiguri,NS(NS)
21/12/2019,mjunction,
21/12/2019,Cochin,115.18(122.90)
21/12/2019,Coonoor,81.27(96.61)
21/12/2019,Coimbatore,93.83(105.66)
21/12/2019,Tea Serve,65.03(89.04)
14/12/2019,Kolkata,153.19(155.64)
14/12/2019,Guwahati,NS(140.67)
14/12/2019,Siliguri,136.34(148.93)
14/12/2019,Jalpaiguri,NS(NS)
14/12/2019,mjunction,
14/12/2019,Cochin,115.97(123.21)
14/12/2019,Coonoor,79.13(97.73)
14/12/2019,Coimbatore,91.63(111.75)
14/12/2019,Tea Serve,66.11(89.23)
07/12/2019,Kolkata,155.34(159.12)
07/12/2019,Guwahati,140.59(143.55)
07/12/2019,Siliguri,139.57(146.49)
07/12/2019,Jalpaiguri,NS(NS)
07/12/2019,mjunction,
07/12/2019,Cochin,116.20(124.83)
07/12/2019,Coonoor,77.75(101.74)
07/12/2019,Coimbatore,92.62(112.35)
07/12/2019,Tea Serve,65.66(92.22)
30/11/2019,Kolkata,159.51(160.37)
30/11/2019,Guwahati,137.90(147.55)
30/11/2019,Siliguri,136.83(151.40)
30/11/2019,Jalpaiguri,NS(NS)
30/11/2019,mjunction,
30/11/2019,Cochin,115.82(125.19)
30/11/2019,Coonoor,77.62(102.90)
30/11/2019,Coimbatore,94.83(114.91)
30/11/2019,Tea Serve,67.62(94.29)
23/11/2019,Kolkata,159.41(158.48)
23/11/2019,Guwahati,141.72(147.28)
23/11/2019,Siliguri,137.61(146.67)
23/11/2019,Jalpaiguri,NS(NS)
23/11/2019,mjunction,
23/11/2019,Cochin,115.36(124.40)
23/11/2019,Coonoor,78.78(101.89)
23/11/2019,Coimbatore,94.82(112.07)
23/11/2019,Tea Serve,69.05(93.74)
16/11/2019,Kolkata,154.48(159.47)
16/11/2019,Guwahati,144.50(147.43)
16/11/2019,Siliguri,135.90(146.60)
16/11/2019,Jalpaiguri,NS(NS)
16/11/2019,mjunction,
16/11/2019,Cochin,114.03(121.96)
16/11/2019,Coonoor,78.12(99.99)
16/11/2019,Coimbatore,92.56(109.37)
16/11/2019,Tea Serve,68.85(90.15)
09/11/2019,Kolkata,155.60(163.10)
09/11/2019,Guwahati,146.59(151.88)
09/11/2019,Siliguri,132.30(138.11)
09/11/2019,Jalpaiguri,NS(NS)
09/11/2019,mjunction,
09/11/2019,Cochin,112.49(120.89)
09/11/2019,Coonoor,77.08(NS)
09/11/2019,Coimbatore,95.10(NS)
09/11/2019,Tea Serve,68.44(85.73)
02/11/2019,Kolkata,162.45(160.15)
02/11/2019,Guwahati,142.76(147.98)
02/11/2019,Siliguri,134.12(139.63)
02/11/2019,Jalpaiguri,NS(NS)
02/11/2019,mjunction,
02/11/2019,Cochin,113.03(120.69)
02/11/2019,Coonoor,76.90(96.51)
02/11/2019,Coimbatore,NS(105.93)
02/11/2019,Tea Serve,69.18(83.37)
26/10/2019,Kolkata,162.89(160.44)
26/10/2019,Guwahati,149.05(149.95)
26/10/2019,Siliguri,136.59(141.61)
26/10/2019,Jalpaiguri,NS(NS)
26/10/2019,mjunction,
26/10/2019,Cochin,114.58(121.27)
26/10/2019,Coonoor,79.05(92.85)
26/10/2019,Coimbatore,95.64(108.00)
26/10/2019,Tea Serve,73.50(79.19)
19/10/2019,Kolkata,159.11(NS)
19/10/2019,Guwahati,149.48(NS)
19/10/2019,Siliguri,132.70(NS)
19/10/2019,Jalpaiguri,NS(NS)
19/10/2019,mjunction,
19/10/2019,Cochin,115.55(123.02)
19/10/2019,Coonoor,83.57(92.29)
19/10/2019,Coimbatore,94.99(107.42)
19/10/2019,Tea Serve,72.40(78.98)
12/10/2019,Kolkata,NS(164.21)
12/10/2019,Guwahati,NS(148.63)
12/10/2019,Siliguri,135.89(136.28)
12/10/2019,Jalpaiguri,NS(NS)
12/10/2019,mjunction,
12/10/2019,Cochin,115.88(123.20)
12/10/2019,Coonoor,84.73(93.38)
12/10/2019,Coimbatore,94.72(108.65)
12/10/2019,Tea Serve,73.55(80.18)
05/10/2019,Kolkata,166.87(160.79)
05/10/2019,Guwahati,153.15(148.20)
05/10/2019,Siliguri,NS(135.01)
05/10/2019,Jalpaiguri,NS(NS)
05/10/2019,mjunction,
05/10/2019,Cochin,115.23(125.51)
05/10/2019,Coonoor,85.96(93.90)
05/10/2019,Coimbatore,94.46(113.47)
05/10/2019,Tea Serve,73.13(80.65)
28/09/2019,Kolkata,162.83(160.65)
28/09/2019,Guwahati,149.28(147.19)
28/09/2019,Siliguri,129.09(131.94)
28/09/2019,Jalpaiguri,NS(NS)
28/09/2019,mjunction,
28/09/2019,Cochin,115.41(132.55)
28/09/2019,Coonoor,86.58(94.70)
28/09/2019,Coimbatore,94.44(110.80)
28/09/2019,Tea Serve,72.72(86.11)
21/09/2019,Kolkata,164.01(162.13)
21/09/2019,Guwahati,149.32(148.76)
21/09/2019,Siliguri,132.39(134.49)
21/09/2019,Jalpaiguri,NS(NS)
21/09/2019,mjunction,
21/09/2019,Cochin,111.72(137.18)
21/09/2019,Coonoor,85.06(95.03)
21/09/2019,Coimbatore,94.32(112.81)
21/09/2019,Tea Serve,71.73(84.91)
14/09/2019,Kolkata,168.08(162.45)
14/09/2019,Guwahati,149.50(150.93)
14/09/2019,Siliguri,132.25(138.42)
14/09/2019,Jalpaiguri,NS(NS)
14/09/2019,mjunction,
14/09/2019,Cochin,NS(132.27)
14/09/2019,Coonoor,84.51(95.03)
14/09/2019,Coimbatore,89.83(111.79)
14/09/2019,Tea Serve,69.73(83.32)
07/09/2019,Kolkata,177.56(161.30)
07/09/2019,Guwahati,155.87(154.19)
07/09/2019,Siliguri,132.99(140.40)
07/09/2019,Jalpaiguri,NS(NS)
07/09/2019,mjunction,
07/09/2019,Cochin,108.07(134.41)
07/09/2019,Coonoor,82.67(94.27)
07/09/2019,Coimbatore,92.92(110.11)
07/09/2019,Tea Serve,68.80(82.68)
31/08/2019,Kolkata,169.47(161.86)
31/08/2019,Guwahati,155.37(156.83)
31/08/2019,Siliguri,132.28(138.80)
31/08/2019,Jalpaiguri,NS(NS)
31/08/2019,mjunction,
31/08/2019,Cochin,109.31(134.02)
31/08/2019,Coonoor,82.25(93.96)
31/08/2019,Coimbatore,89.89(108.09)
31/08/2019,Tea Serve,68.20(81.55)
24/08/2019,Kolkata,174.81(162.97)
24/08/2019,Guwahati,156.13(156.72)
24/08/2019,Siliguri,130.65(137.74)
24/08/2019,Jalpaiguri,NS(NS)
24/08/2019,mjunction,
24/08/2019,Cochin,107.00(NS)
24/08/2019,Coonoor,81.91(91.49)
24/08/2019,Coimbatore,91.21(101.24)
24/08/2019,Tea Serve,68.30(75.53)
17/08/2019,Kolkata,176.72(169.98)
17/08/2019,Guwahati,156.66(157.95)
17/08/2019,Siliguri,134.33(138.87)
17/08/2019,Jalpaiguri,NS(NS)
17/08/2019,mjunction,
17/08/2019,Cochin,104.99(121.85)
17/08/2019,Coonoor,80.38(86.89)
17/08/2019,Coimbatore,90.93(98.66)
17/08/2019,Tea Serve,68.70(68.79)
10/08/2019,Kolkata,183.59(172.28)
10/08/2019,Guwahati,161.64(160.61)
10/08/2019,Siliguri,138.75(139.98)
10/08/2019,Jalpaiguri,NS(NS)
10/08/2019,mjunction,
10/08/2019,Cochin,108.51(123.16)
10/08/2019,Coonoor,79.64(85.83)
10/08/2019,Coimbatore,90.88(97.35)
10/08/2019,Tea Serve,71.80(68.56)
03/08/2019,Kolkata,182.14(175.72)
03/08/2019,Guwahati,160.83(162.69)
03/08/2019,Siliguri,142.20(142.63)
03/08/2019,Jalpaiguri,NS(NS)
03/08/2019,mjunction,
03/08/2019,Cochin,109.37(119.11)
03/08/2019,Coonoor,78.98(83.83)
03/08/2019,Coimbatore,91.68(94.03)
03/08/2019,Tea Serve,73.56(65.59)
27/07/2019,Kolkata,178.43(174.90)
27/07/2019,Guwahati,163.94(164.44)
27/07/2019,Siliguri,142.23(145.01)
27/07/2019,Jalpaiguri,NS(NS)
27/07/2019,mjunction,
27/07/2019,Cochin,109.34(118.52)
27/07/2019,Coonoor,79.44(81.98)
27/07/2019,Coimbatore,87.28(91.69)
27/07/2019,Tea Serve,71.00(65.57)
20/07/2019,Kolkata,179.47(175.30)
20/07/2019,Guwahati,161.31(163.96)
20/07/2019,Siliguri,143.68(146.36)
20/07/2019,Jalpaiguri,NS(NS)
20/07/2019,mjunction,
20/07/2019,Cochin,107.52(111.32)
20/07/2019,Coonoor,77.77(80.61)
20/07/2019,Coimbatore,89.80(94.53)
20/07/2019,Tea Serve,69.40(62.50)
13/07/2019,Kolkata,173.56(174.36)
13/07/2019,Guwahati,157.55(163.85)
13/07/2019,Siliguri,143.44(144.87)
13/07/2019,Jalpaiguri,NS(NS)
13/07/2019,mjunction,
13/07/2019,Cochin,109.07(111.44)
13/07/2019,Coonoor,77.77(80.01)
13/07/2019,Coimbatore,90.18(92.73)
13/07/2019,Tea Serve,69.48(64.41)
06/07/2019,Kolkata,176.81(180.65)
06/07/2019,Guwahati,158.04(161.32)
06/07/2019,Siliguri,144.57(146.68)
06/07/2019,Jalpaiguri,NS(NS)
06/07/2019,mjunction,
06/07/2019,Cochin,111.24(111.47)
06/07/2019,Coonoor,83.75(77.25)
06/07/2019,Coimbatore,97.87(89.03)
06/07/2019,Tea Serve,73.59(66.20)
29/06/2019,Kolkata,173.17(180.81)
29/06/2019,Guwahati,156.14(165.07)
29/06/2019,Siliguri,144.36(150.39)
29/06/2019,Jalpaiguri,NS(NS)
29/06/2019,mjunction,
29/06/2019,Cochin,112.70(110.90)
29/06/2019,Coonoor,86.15(76.59)
29/06/2019,Coimbatore,96.84(91.32)
29/06/2019,Tea Serve,79.63(62.86)
22/06/2019,Kolkata,171.35(173.12)
22/06/2019,Guwahati,161.93(168.36)
22/06/2019,Siliguri,150.56(149.15)
22/06/2019,Jalpaiguri,NS(NS)
22/06/2019,mjunction,
22/06/2019,Cochin,113.88(112.48)
22/06/2019,Coonoor,90.68(76.34)
22/06/2019,Coimbatore,98.88(89.23)
22/06/2019,Tea Serve,81.34(63.72)
15/06/2019,Kolkata,159.03(165.87)
15/06/2019,Guwahati,154.08(160.82)
15/06/2019,Siliguri,149.43(143.50)
15/06/2019,Jalpaiguri,NS(NS)
15/06/2019,mjunction,
