week,location,average_price
28/12/2013,Kolkata,143.77(145.47)
28/12/2013,Guwahati,117.81(131.33)
28/12/2013,Siliguri,123.35(122.91)
28/12/2013,Jalpaiguri,N.S.(98.99)
28/12/2013,mjunction,
28/12/2013,Cochin,NS(NS)
28/12/2013,Coonoor,NS(NS)
28/12/2013,Coimbatore,NS(NS)
28/12/2013,Tea Serve,NS(NS)
21/12/2013,Kolkata,143.51(145.30)
21/12/2013,Guwahati,118.65(133.74)
21/12/2013,Siliguri,120.28(126.51)
21/12/2013,Jalpaiguri,N.S.(102.06)
21/12/2013,mjunction,
21/12/2013,Cochin,98.56(103.74)
21/12/2013,Coonoor,73.19(97.88)
21/12/2013,Coimbatore,80.38(96.88)
21/12/2013,Tea Serve,76.66(99.46)
07/12/2013,Kolkata,152.31(146.89)
07/12/2013,Guwahati,124.53(134.98)
07/12/2013,Siliguri,120.67(127.77)
07/12/2013,Jalpaiguri,N.S.(103.55)
07/12/2013,mjunction,
07/12/2013,Cochin,95.38(101.03)
07/12/2013,Coonoor,72.31(93.99)
07/12/2013,Coimbatore,81.19(93.35)
07/12/2013,Tea Serve,75.60(91.81)
30/11/2013,Kolkata,153.33(148.97)
30/11/2013,Guwahati,124.02(133.42)
30/11/2013,Siliguri,123.10(128.94)
30/11/2013,Jalpaiguri,N.S.(105.07)
30/11/2013,mjunction,
30/11/2013,Cochin,100.54(99.60)
30/11/2013,Coonoor,74.34(93.50)
30/11/2013,Coimbatore,80.88(93.28)
30/11/2013,Tea Serve,75.05(92.39)
23/11/2013,Kolkata,146.15(151.77)
23/11/2013,Guwahati,126.04(134.58)
23/11/2013,Siliguri,126.58(129.38)
23/11/2013,Jalpaiguri,N.S.(104.67)
23/11/2013,mjunction,
23/11/2013,Cochin,103.56(97.39)
23/11/2013,Coonoor,76.15(92.37)
23/11/2013,Coimbatore,84.36(92.77)
23/11/2013,Tea Serve,80.97(89.49)
16/11/2013,Kolkata,144.73(149.59)
16/11/2013,Guwahati,130.60(135.22)
16/11/2013,Siliguri,121.57(126.30)
16/11/2013,Jalpaiguri,N.S.(100.71)
16/11/2013,mjunction,
16/11/2013,Cochin,104.03(96.76)
16/11/2013,Coonoor,74.35(89.27)
16/11/2013,Coimbatore,82.51(N.S.)
16/11/2013,Tea Serve,77.55(87.91)
09/11/2013,Kolkata,144.78(149.67)
09/11/2013,Guwahati,131.78(131.32)
09/11/2013,Siliguri,120.62(122.44)
09/11/2013,Jalpaiguri,83.27(98.93)
09/11/2013,mjunction,
09/11/2013,Cochin,107.97(95.50)
09/11/2013,Coonoor,71.71(87.61)
09/11/2013,Coimbatore,81.89(89.23)
09/11/2013,Tea Serve,75.77(83.62)
02/11/2013,Kolkata,145.11 (145.61)
02/11/2013,Guwahati,130.12 (129.20)
02/11/2013,Siliguri,117.65 (120.08)
02/11/2013,Jalpaiguri,85.00 (96.52)
02/11/2013,mjunction,
02/11/2013,Cochin,109.59 (95.61)
02/11/2013,Coonoor,73.69 (83.90)
02/11/2013,Coimbatore,N.S.(87.27)
02/11/2013,Tea Serve,75.48 (82.04)
26/10/2013,Kolkata,148.04 (N.S.)
26/10/2013,Guwahati,132.51 (N.S.)
26/10/2013,Siliguri,118.36 (N.S.)
26/10/2013,Jalpaiguri,N.S. (N.S.)
26/10/2013,mjunction,
26/10/2013,Cochin,108.72 (95.87)
26/10/2013,Coonoor,77.29 (83.07)
26/10/2013,Coimbatore,85.07 (87.22)
26/10/2013,Tea Serve,76.88 (84.82)
19/10/2013,Kolkata,N.S. (147.22)
19/10/2013,Guwahati,N.S. (127.64)
19/10/2013,Siliguri,N.S. (113.36)
19/10/2013,Jalpaiguri,N.S. (94.49)
19/10/2013,mjunction,
19/10/2013,Cochin,111.16 (96.37)
19/10/2013,Coonoor,79.37 (84.38)
19/10/2013,Coimbatore,89.75 (86.88)
19/10/2013,Tea Serve,78.49 (84.98)
12/10/2013,Kolkata,148.81 (146.07)
12/10/2013,Guwahati,137.32 (130.98)
12/10/2013,Siliguri,115.06 (113.75)
12/10/2013,Jalpaiguri,N.S. (95.27)
12/10/2013,mjunction,
12/10/2013,Cochin,118.35 (97.21)
12/10/2013,Coonoor,84.45 (83.76)
12/10/2013,Coimbatore,96.28 (86.65)
12/10/2013,Tea Serve,82.92 (82.96)
05/10/2013,Kolkata,148.01 (N.S.)
05/10/2013,Guwahati,135.37 (133.24)
05/10/2013,Siliguri,116.82 (113.36)
05/10/2013,Jalpaiguri,85.65 (97.62)
05/10/2013,mjunction,
05/10/2013,Cochin,122.77 (98.20)
05/10/2013,Coonoor,86.29 (84.46)
05/10/2013,Coimbatore,95.26 (87.92)
05/10/2013,Tea Serve,85.66 (83.31)
28/09/2013,Kolkata,148.10 (144.86)
28/09/2013,Guwahati,131.59 (135.26)
28/09/2013,Siliguri,117.97 (112.58)
28/09/2013,Jalpaiguri,87.74 (96.20)
28/09/2013,mjunction,
28/09/2013,Cochin,130.67 (99.31)
28/09/2013,Coonoor,87.94 (87.22)
28/09/2013,Coimbatore,98.52 (88.49)
28/09/2013,Tea Serve,87.05 (83.94)
21/09/2013,Kolkata,145.77 (146.99)
21/09/2013,Guwahati,131.85 (136.01)
21/09/2013,Siliguri,116.66 (117.89)
21/09/2013,Jalpaiguri,85.89 (100.96)
21/09/2013,mjunction,
21/09/2013,Cochin,N.S.  (99.18)
21/09/2013,Coonoor,87.87 (88.77)
21/09/2013,Coimbatore,99.81 (91.44)
21/09/2013,Tea Serve,89.14 (87.24)
14/09/2013,Kolkata,145.36 (149.61)
14/09/2013,Guwahati,131.07 (136.53)
14/09/2013,Siliguri,115.76 (119.97)
14/09/2013,Jalpaiguri,93.50 (106.72)
14/09/2013,mjunction,
14/09/2013,Cochin,128.62 (98.84)
14/09/2013,Coonoor,87.93 (92.12)
14/09/2013,Coimbatore,101.39 (93.07)
14/09/2013,Tea Serve,90.39 (88.13)
07/09/2013,Kolkata,144.05 (147.33)
07/09/2013,Guwahati,129.22 (139.07)
07/09/2013,Siliguri,113.90 (121.68)
07/09/2013,Jalpaiguri,88.22 (105.08)
07/09/2013,mjunction,
07/09/2013,Cochin,128.20 (96.05)
07/09/2013,Coonoor,86.68 (91.72)
07/09/2013,Coimbatore,98.95 (93.24)
07/09/2013,Tea Serve,92.87 (89.27)
31/08/2013,Kolkata,146.59 (148.24)
31/08/2013,Guwahati,132.48 (138.96)
31/08/2013,Siliguri,114.78 (122.95)
31/08/2013,Jalpaiguri,91.33 (107.08)
31/08/2013,mjunction,
31/08/2013,Cochin,125.16 (N.S.)
31/08/2013,Coonoor,86.43 (90.19)
31/08/2013,Coimbatore,95.25 (91.41)
31/08/2013,Tea Serve,88.10 (86.75)
24/08/2013,Kolkata,146.78 (151.27)
24/08/2013,Guwahati,132.56 (142.04)
24/08/2013,Siliguri,116.48 (125.24)
24/08/2013,Jalpaiguri,91.02 (107.66)
24/08/2013,mjunction,
24/08/2013,Cochin,121.70 (93.87)
24/08/2013,Coonoor,84.40 (87.54)
24/08/2013,Coimbatore,92.96 (89.68)
24/08/2013,Tea Serve,84.17 (87.48)
17/08/2013,Kolkata,155.04 (149.78)
17/08/2013,Guwahati,134.78 (141.10)
17/08/2013,Siliguri,115.80 (124.41)
17/08/2013,Jalpaiguri,91.10 (108.69)
17/08/2013,mjunction,
17/08/2013,Cochin,123.24 (95.17)
17/08/2013,Coonoor,84.85 (84.65)
17/08/2013,Coimbatore,92.94 (87.25)
17/08/2013,Tea Serve,84.54 (85.96)
10/08/2013,Kolkata,150.85 (151.48)
10/08/2013,Guwahati,139.60 (143.23)
10/08/2013,Siliguri,118.31 (126.34)
10/08/2013,Jalpaiguri,90.24 (110.28)
10/08/2013,mjunction,
10/08/2013,Cochin,123.69 (95.84)
10/08/2013,Coonoor,84.59 (84.32)
10/08/2013,Coimbatore,94.01 (86.11)
10/08/2013,Tea Serve,86.24 (85.59)
03/08/2013,Kolkata,147.60(152.58)
03/08/2013,Guwahati,140.94(143.48)
03/08/2013,Siliguri,121.56(127.63)
03/08/2013,Jalpaiguri,92.41(107.42)
03/08/2013,mjunction,
03/08/2013,Cochin,117.24(97.03)
03/08/2013,Coonoor,85.20(81.44)
03/08/2013,Coimbatore,92.35(84.78)
03/08/2013,Tea Serve,87.94(83.85)
27/07/2013,Kolkata,150.47(154.80)
27/07/2013,Guwahati,142.14(142.38)
27/07/2013,Siliguri,123.97(128.59)
27/07/2013,Jalpaiguri,94.78(113.15)
27/07/2013,mjunction,
27/07/2013,Cochin,116.45(95.79)
27/07/2013,Coonoor,83.93(78.58)
27/07/2013,Coimbatore,91.76(82.68)
27/07/2013,Tea Serve,91.87(80.22)
20/07/2013,Kolkata,153.68(154.41)
20/07/2013,Guwahati,144.93(144.16)
20/07/2013,Siliguri,124.85(129.30)
20/07/2013,Jalpaiguri,93.70(110.40)
20/07/2013,mjunction,
20/07/2013,Cochin,113.79(94.26)
20/07/2013,Coonoor,85.41(77.23)
20/07/2013,Coimbatore,91.64(80.73)
20/07/2013,Tea Serve,91.78(80.06)
13/07/2013,Kolkata,157.33(157.21)
13/07/2013,Guwahati,146.8(143.41)
13/07/2013,Siliguri,126.88(127.43)
13/07/2013,Jalpaiguri,101.53(110.96)
13/07/2013,mjunction,
13/07/2013,Cochin,109.65(93.53)
13/07/2013,Coonoor,87.99(76.14)
13/07/2013,Coimbatore,92.23(79.5)
13/07/2013,Tea Serve,92.5(80.25)
06/07/2013,Kolkata,158.62(160.15)
06/07/2013,Guwahati,148.91(148.92)
06/07/2013,Siliguri,128.06(129.80)
06/07/2013,Jalpaiguri,103.42(111.09)
06/07/2013,mjunction,
06/07/2013,Cochin,109.09(90.19)
06/07/2013,Coonoor,91.00(77.32)
06/07/2013,Coimbatore,95.76(80.30)
06/07/2013,Tea Serve,94.23(80.81)
29/06/2013,Kolkata,155.34(158.63)
29/06/2013,Guwahati,147.02(151.69)
29/06/2013,Siliguri,133.01(134.74)
29/06/2013,Jalpaiguri,100.64(118.94)
29/06/2013,mjunction,
29/06/2013,Cochin,109.66(88.75)
29/06/2013,Coonoor,91.85(79.20)
29/06/2013,Coimbatore,95.99(81.00)
29/06/2013,Tea Serve,92.75(79.21)
22/06/2013,Kolkata,148.54(163.32)
22/06/2013,Guwahati,142.94(154.53)
22/06/2013,Siliguri,137.11(141.96)
22/06/2013,Jalpaiguri,109.64(125.93)
22/06/2013,mjunction,
22/06/2013,Cochin,109.02(91.20)
22/06/2013,Coonoor,91.59(82.43)
22/06/2013,Coimbatore,95.75(83.67)
22/06/2013,Tea Serve,93.31(78.36)
15/06/2013,Kolkata,144.87(166.41)
15/06/2013,Guwahati,141.25(158.51)
15/06/2013,Siliguri,139.41(149.13)
15/06/2013,Jalpaiguri,112.13(131.74)
15/06/2013,mjunction,
15/06/2013,Cochin,108.96(95.89)
15/06/2013,Coonoor,90.54(88.47)
15/06/2013,Coimbatore,95.67(85.55)
15/06/2013,Tea Serve,90.33(78.88)
08/06/2013,Kolkata,147.56(174.54)
08/06/2013,Guwahati,138.72(161.87)
08/06/2013,Siliguri,138.85(153.32)
08/06/2013,Jalpaiguri,113.50(134.28)
08/06/2013,mjunction,
08/06/2013,Cochin,111.20(97.17)
08/06/2013,Coonoor,91.96(92.18)
08/06/2013,Coimbatore,95.82(88.24)
08/06/2013,Tea Serve,88.45(81.76)
01/06/2013,Kolkata,149.53(173.92)
01/06/2013,Guwahati,135.41(159.32)
01/06/2013,Siliguri,137.82(156.72)
01/06/2013,Jalpaiguri,113.96(134.18)
01/06/2013,mjunction,
01/06/2013,Cochin,113.82(97.76)
01/06/2013,Coonoor,92.19(93.13)
01/06/2013,Coimbatore,96.97(89.95)
01/06/2013,Tea Serve,89.67(81.24)
25/05/2013,Kolkata,151.69(171.32)
25/05/2013,Guwahati,141.91(160.39)
25/05/2013,Siliguri,134.02(156.51)
25/05/2013,Jalpaiguri,122.20(142.42)
25/05/2013,mjunction,
25/05/2013,Cochin,110.63(99.43)
25/05/2013,Coonoor,92.33(91.88)
25/05/2013,Coimbatore,95.30(89.88)
25/05/2013,Tea Serve,87.42(78.20)
18/05/2013,Kolkata,155.68(164.07)
18/05/2013,Guwahati,148.31(158.06)
18/05/2013,Siliguri,128.01(150.25)
18/05/2013,Jalpaiguri,N.S.(143.07)
18/05/2013,mjunction,
18/05/2013,Cochin,107.59(101.01)
18/05/2013,Coonoor,91.30(86.77)
18/05/2013,Coimbatore,93.34(88.23)
18/05/2013,Tea Serve,84.08(75.71)
11/05/2013,Kolkata,153.75(162.10)
11/05/2013,Guwahati,145.64(155.12)
11/05/2013,Siliguri,129.73(145.52)
11/05/2013,Jalpaiguri,N.S.(137.45)
11/05/2013,mjunction,
11/05/2013,Cochin,108.70(97.46)
11/05/2013,Coonoor,93.37(81.80)
11/05/2013,Coimbatore,93.02(83.64)
11/05/2013,Tea Serve,82.59(72.08)
04/05/2013,Kolkata,158.93(164)
04/05/2013,Guwahati,151.43(158.11)
04/05/2013,Siliguri,130.19(138.39)
04/05/2013,Jalpaiguri,N.S.(N.S.)
04/05/2013,mjunction,
04/05/2013,Cochin,117.51(99.81)
04/05/2013,Coonoor,97.28(79.31)
04/05/2013,Coimbatore,99.00(79.95)
04/05/2013,Tea Serve,83.61(69.43)
16/03/2013,Kolkata,N.S.(N.S.)
16/03/2013,Guwahati,N.S.(N.S.)
16/03/2013,Siliguri,N.S.(79.96)
16/03/2013,Jalpaiguri,N.S.(N.S.)
16/03/2013,mjunction,
16/03/2013,Cochin,124.30(90.21)
16/03/2013,Coonoor,107.93(71.83)
