week,location,average_price
26/12/2020,Kolkata,183.61(152.94)
26/12/2020,Guwahati,160.80(134.25)
26/12/2020,Siliguri,164.48(135.65)
26/12/2020,Jalpaiguri,NS(NS)
26/12/2020,mjunction,128.08
26/12/2020,Cochin,171.84(116.47)
26/12/2020,Coonoor,112.94(NS)
26/12/2020,Coimbatore,130.42(NS)
26/12/2020,Tea Serve,99.16(67.76)
19/12/2020,Kolkata,176.24(154.19)
19/12/2020,Guwahati,157.43(138.83)
19/12/2020,Siliguri,160.59(135.58)
19/12/2020,Jalpaiguri,NS(NS)
19/12/2020,mjunction,Not Available
19/12/2020,Cochin,170.61(115.18)
19/12/2020,Coonoor,110.74(81.27)
19/12/2020,Coimbatore,129.53(93.83)
19/12/2020,Tea Serve,99.10(65.03)
12/12/2020,Kolkata,176.11(153.19)
12/12/2020,Guwahati,165.85(NS)
12/12/2020,Siliguri,157.84(136.34)
12/12/2020,Jalpaiguri,NS(NS)
12/12/2020,mjunction,140.03
12/12/2020,Cochin,173.74(115.97)
12/12/2020,Coonoor,107.07(79.13)
12/12/2020,Coimbatore,137.50(91.63)
12/12/2020,Tea Serve,98.32(66.11)
05/12/2020,Kolkata,181.13(155.34)
05/12/2020,Guwahati,163.78(140.59)
05/12/2020,Siliguri,158.00(139.57)
05/12/2020,Jalpaiguri,NS(NS)
05/12/2020,mjunction,111.00
05/12/2020,Cochin,185.58(116.20)
05/12/2020,Coonoor,108.56(77.75)
05/12/2020,Coimbatore,136.99(92.62)
05/12/2020,Tea Serve,133.38(65.66)
28/11/2020,Kolkata,186.52(159.51)
28/11/2020,Guwahati,168.80(137.90)
28/11/2020,Siliguri,156.82(136.83)
28/11/2020,Jalpaiguri,NS(NS)
28/11/2020,mjunction,162.33
28/11/2020,Cochin,197.97(115.82)
28/11/2020,Coonoor,128.93(77.62)
28/11/2020,Coimbatore,160.31(94.83)
28/11/2020,Tea Serve,128.13(67.62)
21/11/2020,Kolkata,190.86(159.41)
21/11/2020,Guwahati,176.33(141.72)
21/11/2020,Siliguri,162.12(137.61)
21/11/2020,Jalpaiguri,NS(NS)
21/11/2020,mjunction,161.82
21/11/2020,Cochin,196.09(115.36)
21/11/2020,Coonoor,141.61(78.78)
21/11/2020,Coimbatore,159.01(94.82)
21/11/2020,Tea Serve,136.26(69.05)
14/11/2020,Kolkata,216.65(154.48)
14/11/2020,Guwahati,186.39(144.50)
14/11/2020,Siliguri,174.94(135.90)
14/11/2020,Jalpaiguri,NS(NS)
14/11/2020,mjunction,180.10
14/11/2020,Cochin,195.57(114.03)
14/11/2020,Coonoor,NS(78.12)
14/11/2020,Coimbatore,NS(92.56)
14/11/2020,Tea Serve,137.67(68.85)
07/11/2020,Kolkata,223.97(155.60)
07/11/2020,Guwahati,191.65(146.59)
07/11/2020,Siliguri,194.98(132.30)
07/11/2020,Jalpaiguri,NS(NS)
07/11/2020,mjunction,NS
07/11/2020,Cochin,194.12(112.49)
07/11/2020,Coonoor,149.31(77.08)
07/11/2020,Coimbatore,159.44(95.10)
07/11/2020,Tea Serve,136.57(68.44)
31/10/2020,Kolkata,NS(162.45)
31/10/2020,Guwahati,205.06(142.76)
31/10/2020,Siliguri,NS(134.12)
31/10/2020,Jalpaiguri,NS(NS)
31/10/2020,mjunction,205.69
31/10/2020,Cochin,187.12(113.03)
31/10/2020,Coonoor,151.39(76.90)
31/10/2020,Coimbatore,159.93(NS)
31/10/2020,Tea Serve,133.75(69.18)
24/10/2020,Kolkata,241.28(162.89)
24/10/2020,Guwahati,214.48(149.05)
24/10/2020,Siliguri,208.57(136.59)
24/10/2020,Jalpaiguri,NS(NS)
24/10/2020,mjunction,205.78
24/10/2020,Cochin,182.89(114.58)
24/10/2020,Coonoor,150.07(79.05)
24/10/2020,Coimbatore,156.02(95.64)
24/10/2020,Tea Serve,132.77(73.50)
17/10/2020,Kolkata,248.03(159.11)
17/10/2020,Guwahati,226.98(149.48)
17/10/2020,Siliguri,211.91(132.70)
17/10/2020,Jalpaiguri,NS(NS)
17/10/2020,mjunction,220.53
17/10/2020,Cochin,180.36(115.55)
17/10/2020,Coonoor,145.33(83.57)
17/10/2020,Coimbatore,156.14(94.99)
17/10/2020,Tea Serve,121.42(72.40)
10/10/2020,Kolkata,258.59(NS)
10/10/2020,Guwahati,239.38(NS)
10/10/2020,Siliguri,224.61(135.89)
10/10/2020,Jalpaiguri,NS(NS)
10/10/2020,mjunction,247.17
10/10/2020,Cochin,173.10(115.88)
10/10/2020,Coonoor,146.37(84.93)
10/10/2020,Coimbatore,154.90(94.72)
10/10/2020,Tea Serve,133.94(73.55)
03/10/2020,Kolkata,269.09(166.87)
03/10/2020,Guwahati,257.40(153.15)
03/10/2020,Siliguri,239.57(NS)
03/10/2020,Jalpaiguri,NS(NS)
03/10/2020,mjunction,254.80
03/10/2020,Cochin,175.67(115.23)
03/10/2020,Coonoor,156.33(85.96)
03/10/2020,Coimbatore,166.29(96.46)
03/10/2020,Tea Serve,144.25(73.13)
26/09/2020,Kolkata,274.35(162.83)
26/09/2020,Guwahati,264.71(149.28)
26/09/2020,Siliguri,247.18(129.09)
26/09/2020,Jalpaiguri,NS(NS)
26/09/2020,mjunction,251.80
26/09/2020,Cochin,188.46(115.41)
26/09/2020,Coonoor,170.74(86.58)
26/09/2020,Coimbatore,180.74(94.44)
26/09/2020,Tea Serve,165.36(72.72)
19/09/2020,Kolkata,283.32(164.01)
19/09/2020,Guwahati,274.79(149.32)
19/09/2020,Siliguri,251.40(132.39)
19/09/2020,Jalpaiguri,NS(NS)
19/09/2020,mjunction,229.86
19/09/2020,Cochin,197.36(111.72)
19/09/2020,Coonoor,185.50(85.06)
19/09/2020,Coimbatore,192.72(94.32)
