week,location,average_price
26/11/2011,Kolkata,123.35(131.63)
26/11/2011,Guwahati,105.74(118.31)
26/11/2011,Siliguri,100.06(104.34)
26/11/2011,Jalpaiguri,N.S.(N.S.)
26/11/2011,mjunction,
26/11/2011,Cochin,80.71(79.19)
26/11/2011,Coonoor,60.22(65.10)
26/11/2011,Coimbatore,64.77(67.82)
26/11/2011,Tea Serve,56.37(56.53)
31/12/2011,Kolkata,124.07(119.16)
31/12/2011,Guwahati,97.82(N.S.)
31/12/2011,Siliguri,101.76(N.S.)
31/12/2011,Jalpaiguri,N.S.(N.S.)
31/12/2011,mjunction,
31/12/2011,Cochin,N.S.(N.S.)
31/12/2011,Coonoor,N.S.(N.S.)
31/12/2011,Coimbatore,N.S.(N.S.)
31/12/2011,Tea Serve,N.S.(N.S.)
24/12/2011,Kolkata,121.55(122.91)
24/12/2011,Guwahati,97.94(104.50)
24/12/2011,Siliguri,103.80(N.S.)
24/12/2011,Jalpaiguri,N.S.(N.S.)
24/12/2011,mjunction,
24/12/2011,Cochin,80.74(80.28)
24/12/2011,Coonoor,64.22(65.60)
24/12/2011,Coimbatore,66.23(68.54)
24/12/2011,Tea Serve,62.24(60.77)
17/12/2011,Kolkata,118.86(125.06)
17/12/2011,Guwahati,96.50(109.00)
17/12/2011,Siliguri,99.38(108.78)
17/12/2011,Jalpaiguri,N.S.(N.S.)
17/12/2011,mjunction,
17/12/2011,Cochin,79.51(79.65)
17/12/2011,Coonoor,61.63(65.34)
17/12/2011,Coimbatore,65.04(67.24)
17/12/2011,Tea Serve,61.33(59.45)
10/12/2011,Kolkata,122.54(127.22)
10/12/2011,Guwahati,101.41(110.39)
10/12/2011,Siliguri,96.60(108.57)
10/12/2011,Jalpaiguri,N.S.(N.S.)
10/12/2011,mjunction,
10/12/2011,Cochin,79.39(79.02)
10/12/2011,Coonoor,59.57(63.78)
10/12/2011,Coimbatore,64.55(66.84)
10/12/2011,Tea Serve,58.85(58.50)
03/12/2011,Kolkata,127.40(128.61)
03/12/2011,Guwahati,101.55(117.11)
03/12/2011,Siliguri,95.56(106.98)
03/12/2011,Jalpaiguri,N.S.(N.S.)
03/12/2011,mjunction,
03/12/2011,Cochin,79.70(78.99)
03/12/2011,Coonoor,59.31(64.64)
03/12/2011,Coimbatore,63.54(66.14)
03/12/2011,Tea Serve,57.88(57.19)
19/11/2011,Kolkata,124.22(130.93)
19/11/2011,Guwahati,104.41(120.27)
19/11/2011,Siliguri,104.16(109.46)
19/11/2011,Jalpaiguri,N.S.(N.S.)
19/11/2011,mjunction,
19/11/2011,Cochin,79.95(79.94)
19/11/2011,Coonoor,61.88(65.21)
19/11/2011,Coimbatore,65.16(65.21)
19/11/2011,Tea Serve,56.11(54.81)
12/11/2011,Kolkata,126.11(131.62)
