week,location,average_price
25/12/2010,Kolkata,122.91(122.39)
25/12/2010,Guwahati,104.50(107.25)
25/12/2010,Siliguri,N.S.(109.37)
25/12/2010,Jalpaiguri,N.S.(N.S.)
25/12/2010,mjunction,
25/12/2010,Cochin,80.28(N.S.)
25/12/2010,Coonoor,65.60(73.24)
25/12/2010,Coimbatore,68.54(N.S.)
25/12/2010,Tea Serve,60.77(70.36)
18/12/2010,Kolkata,125.06(122.95)
18/12/2010,Guwahati,109.00(111.26)
18/12/2010,Siliguri,108.78(113.70)
18/12/2010,Jalpaiguri,N.S.(N.S.)
18/12/2010,mjunction,
18/12/2010,Cochin,79.65(81.73)
18/12/2010,Coonoor,65.34(74.04)
18/12/2010,Coimbatore,67.24(74.41)
18/12/2010,Tea Serve,59.45(69.36)
11/12/2010,Kolkata,127.22(123.65)
11/12/2010,Guwahati,110.39(111.72)
11/12/2010,Siliguri,108.57(114.33)
11/12/2010,Jalpaiguri,N.S.(N.S.)
11/12/2010,mjunction,
11/12/2010,Cochin,79.02(81.48)
11/12/2010,Coonoor,63.78(N.S.)
11/12/2010,Coimbatore,66.84(76.11)
11/12/2010,Tea Serve,58.50(72.16)
04/12/2010,Kolkata,128.61(126.73)
04/12/2010,Guwahati,117.11(114.98)
04/12/2010,Siliguri,106.98(111.19)
04/12/2010,Jalpaiguri,N.S.(N.S.)
04/12/2010,mjunction,
04/12/2010,Cochin,78.99(82.72)
04/12/2010,Coonoor,64.64(76.90)
04/12/2010,Coimbatore,66.14(77.44)
04/12/2010,Tea Serve,57.19(75.31)
27/11/2010,Kolkata,131.63(126.24)
27/11/2010,Guwahati,118.31(120.06)
27/11/2010,Siliguri,104.34(110.03)
27/11/2010,Jalpaiguri,N.S.(N.S.)
27/11/2010,mjunction,
27/11/2010,Cochin,79.19(84.40)
27/11/2010,Coonoor,65.10(76.51)
27/11/2010,Coimbatore,67.82(77.67)
27/11/2010,Tea Serve,56.53(72.92)
20/11/2010,Kolkata,130.93(132.46)
20/11/2010,Guwahati,120.27(118.99)
20/11/2010,Siliguri,109.46(114.64)
20/11/2010,Jalpaiguri,N.S.(N.S.)
20/11/2010,mjunction,
20/11/2010,Cochin,79.94(80.23)
20/11/2010,Coonoor,65.21(76.24)
20/11/2010,Coimbatore,65.21(79.41)
20/11/2010,Tea Serve,54.81(69.08)
13/11/2010,Kolkata,131.62(129.38)
13/11/2010,Guwahati,118.41(120.09)
13/11/2010,Siliguri,109.18(116.15)
13/11/2010,Jalpaiguri,N.S.(N.S.)
13/11/2010,mjunction,
13/11/2010,Cochin,82.80(78.86)
13/11/2010,Coonoor,64.42(N.S.)
13/11/2010,Coimbatore,66.24(75.37)
13/11/2010,Tea Serve,54.11(N.S.)
06/11/2010,Kolkata,132.73(129.75)
06/11/2010,Guwahati,118.83(118.65)
06/11/2010,Siliguri,112.10(115.75)
06/11/2010,Jalpaiguri,N.S.(N.S.)
06/11/2010,mjunction,
06/11/2010,Cochin,82.63(79.27)
06/11/2010,Coonoor,64.54(70.38)
06/11/2010,Coimbatore,N.S.(73.22)
06/11/2010,Tea Serve,52.88(64.45)
30/10/2010,Kolkata,133.73(132.56)
30/10/2010,Guwahati,122.23(119.64)
30/10/2010,Siliguri,108.24(109.63)
30/10/2010,Jalpaiguri,N.S.(N.S.)
30/10/2010,mjunction,
30/10/2010,Cochin,83.39(82.58)
30/10/2010,Coonoor,64.65(68.75)
30/10/2010,Coimbatore,66.65(72.78)
30/10/2010,Tea Serve,51.42(65.26)
13/10/2010,Kolkata,N.S.(128.85)
13/10/2010,Guwahati,124.62(119.67)
13/10/2010,Siliguri,106.50(108.25)
13/10/2010,Jalpaiguri,N.S.(N.S.)
13/10/2010,mjunction,
13/10/2010,Cochin,84.58(86.17)
13/10/2010,Coonoor,63.59(72.49)
13/10/2010,Coimbatore,65.61(75.68)
13/10/2010,Tea Serve,52.14(67.16)
16/10/2010,Kolkata,133.76(130.14)
16/10/2010,Guwahati,N.S.(119.69)
16/10/2010,Siliguri,N.S.(106.18)
16/10/2010,Jalpaiguri,N.S.(N.S.)
16/10/2010,mjunction,
