week,location,average_price
26/12/2009,Kolkata,122.39 (103.39)
26/12/2009,Guwahati,107.25 (87.25)
26/12/2009,Siliguri,109.37 (84.90)
26/12/2009,Jalpaiguri,N.S.(N.S.)
26/12/2009,mjunction,
26/12/2009,Cochin,No sale
26/12/2009,Coonoor,73.24 (N.S.)
26/12/2009,Coimbatore,No sale
26/12/2009,Tea Serve,70.36 (64.40)
19/12/2009,Kolkata,122.95 (104.46)
19/12/2009,Guwahati,111.26 (89.05)
19/12/2009,Siliguri,113.70 (86.30)
19/12/2009,Jalpaiguri,N.S.(N.S.)
19/12/2009,mjunction,
19/12/2009,Cochin,81.73 (77.65)
19/12/2009,Coonoor,74.04 (65.74)
19/12/2009,Coimbatore,74.41 (69.01)
19/12/2009,Tea Serve,69.36 (59.00)
12/12/2009,Kolkata,123.65 (105.00)
12/12/2009,Guwahati,111.72 (89.91)
12/12/2009,Siliguri,114.33 (86.17)
12/12/2009,Jalpaiguri,N.S.(N.S.)
12/12/2009,mjunction,
12/12/2009,Cochin,81.48 (75.13)
12/12/2009,Coonoor,74.69 (61.88)
12/12/2009,Coimbatore,76.11 (64.50)
12/12/2009,Tea Serve,72.16 (56.50)
05/12/2009,Kolkata,126.73 (108.20)
05/12/2009,Guwahati,114.98 (94.72)
05/12/2009,Siliguri,111.19 (85.79)
05/12/2009,Jalpaiguri,N.S.(N.S.)
05/12/2009,mjunction,
05/12/2009,Cochin,82.72 (70.67)
05/12/2009,Coonoor,76.90 (59.19)
05/12/2009,Coimbatore,77.44 (60.17)
05/12/2009,Tea Serve,75.31 (57.37)
28/11/2009,Kolkata,126.24 (109.96)
28/11/2009,Guwahati,120.06 (96.85)
28/11/2009,Siliguri,110.03 (86.99)
28/11/2009,Jalpaiguri,N.S.(N.S.)
28/11/2009,mjunction,
28/11/2009,Cochin,84.40 (79.50)
28/11/2009,Coonoor,76.51 (60.97)
28/11/2009,Coimbatore,77.67 (61.46)
28/11/2009,Tea Serve,72.92 (59.31)
21/11/2009,Kolkata,132.46 (108.40)
21/11/2009,Guwahati,118.99 (96.76)
21/11/2009,Siliguri,114.64 (86.72)
21/11/2009,Jalpaiguri,N.S.(N.S.)
21/11/2009,mjunction,
21/11/2009,Cochin,80.23 (83.90)
21/11/2009,Coonoor,76.24 (66.11)
21/11/2009,Coimbatore,79.41 (68.63)
21/11/2009,Tea Serve,69.08 (66.78)
14/11/2009,Kolkata,129.38 (109.03)
14/11/2009,Guwahati,120.09 (98.77)
14/11/2009,Siliguri,116.15 (89.07)
14/11/2009,Jalpaiguri,N.S.(N.S.)
14/11/2009,mjunction,
14/11/2009,Cochin,78.86 (81.31)
14/11/2009,Coonoor,0.00 (68.07)
14/11/2009,Coimbatore,75.37 (71.00)
14/11/2009,Tea Serve,0.00 (65.17)
07/11/2009,Kolkata,129.75 (107.71)
07/11/2009,Guwahati,118.65 (100.19)
07/11/2009,Siliguri,115.75 (90.18)
07/11/2009,Jalpaiguri,N.S.(N.S.)
07/11/2009,mjunction,
07/11/2009,Cochin,79.27 (0.00)
07/11/2009,Coonoor,70.38 (69.12)
07/11/2009,Coimbatore,73.22 (70.73)
07/11/2009,Tea Serve,64.45 (65.37)
31/10/2009,Kolkata,132.56 (109.46)
31/10/2009,Guwahati,119.64 (101.34)
31/10/2009,Siliguri,109.63 (90.01)
31/10/2009,Jalpaiguri,N.S.(N.S.)
31/10/2009,mjunction,
31/10/2009,Cochin,82.58(83.95)
31/10/2009,Coonoor,68.75 (74.88)
31/10/2009,Coimbatore,72.78 (72.75)
31/10/2009,Tea Serve,65.26 (68.22)
24/10/2009,Kolkata,128.85 (114.23)
24/10/2009,Guwahati,119.67 (106.50)
24/10/2009,Siliguri,108.25 (96.21)
24/10/2009,Jalpaiguri,N.S.(N.S.)
24/10/2009,mjunction,
24/10/2009,Cochin,86.17 (90.24)
24/10/2009,Coonoor,72.49 (79.69)
24/10/2009,Coimbatore,75.68 (NS)
24/10/2009,Tea Serve,67.16 (75.94)
17/10/2009,Kolkata,130.14 (113.59)
17/10/2009,Guwahati,119.69 (107.29)
17/10/2009,Siliguri,106.18 (98.95)
17/10/2009,Jalpaiguri,N.S.(N.S.)
17/10/2009,mjunction,
17/10/2009,Cochin,N.S (93.65)
17/10/2009,Coonoor,73.67 (83.14)
17/10/2009,Coimbatore,N.S (84.21)
17/10/2009,Tea Serve,68.14 (79.83)
10/10/2009,Kolkata,129.80((N.S)
10/10/2009,Guwahati,117.34 ((N.S)
10/10/2009,Siliguri,109.32 (N.S)
10/10/2009,Jalpaiguri,N.S.(N.S.)
10/10/2009,mjunction,
10/10/2009,Cochin,84.32 (91.01)
10/10/2009,Coonoor,73.48 (82.26)
10/10/2009,Coimbatore,77.27 (84.37)
10/10/2009,Tea Serve,68.10 (79.08)
03/10/2009,Kolkata,N.S (111.43)
03/10/2009,Guwahati,N.S (105.19)
03/10/2009,Siliguri,N.S (97.97)
03/10/2009,Jalpaiguri,N.S.(N.S.)
03/10/2009,mjunction,
03/10/2009,Cochin,86.50 (90.63)
03/10/2009,Coonoor,75.59 (80.32)
03/10/2009,Coimbatore,77.85 (82.36)
03/10/2009,Tea Serve,78.6(76.96)
26/09/2009,Kolkata,129.70 (109.64)
26/09/2009,Guwahati,114.83 (105.57)
26/09/2009,Siliguri,105.28 (97.14)
26/09/2009,Jalpaiguri,N.S.(N.S.)
26/09/2009,mjunction,
26/09/2009,Cochin,89.65 (99.95)
26/09/2009,Coonoor,76.85 (83.73)
26/09/2009,Coimbatore,80.74 (87.14)
26/09/2009,Tea Serve,79.87 (82.95)
19/09/2009,Kolkata,124.18 (108.36)
19/09/2009,Guwahati,114.69 (102.49)
19/09/2009,Siliguri,101.40 (97.94)
19/09/2009,Jalpaiguri,N.S.(N.S.)
19/09/2009,mjunction,
19/09/2009,Cochin,93.79 (95.39)
19/09/2009,Coonoor,75.45 (83.36)
19/09/2009,Coimbatore,80.50 (86.45)
19/09/2009,Tea Serve,75.53 (79.72)
12/09/2009,Kolkata,121.40 (103.26)
12/09/2009,Guwahati,112.62 (98.78)
12/09/2009,Siliguri,No sale
12/09/2009,Jalpaiguri,N.S.(N.S.)
12/09/2009,mjunction,
12/09/2009,Cochin,92.81 (N.S)
12/09/2009,Coonoor,74.93 (75.47)
12/09/2009,Coimbatore,75.67 (79.64)
12/09/2009,Tea Serve,73.85 (71.44)
05/09/2009,Kolkata,122.13 (102.05)
05/09/2009,Guwahati,112.43 (97.33)
05/09/2009,Siliguri,No sale
05/09/2009,Jalpaiguri,N.S.(N.S.)
05/09/2009,mjunction,
05/09/2009,Cochin,No sale
05/09/2009,Coonoor,73.75 (71.96)
05/09/2009,Coimbatore,78.51 (75.18)
05/09/2009,Tea Serve,70.36 (68.57)
29/08/2009,Kolkata,123.21 (100.87 )
29/08/2009,Guwahati,114.19 (95.96)
29/08/2009,Siliguri,101.70 (88.54)
29/08/2009,Jalpaiguri,N.S.(N.S.)
29/08/2009,mjunction,
29/08/2009,Cochin,93.72 (81.37)
29/08/2009,Coonoor,72.21 (70.36)
29/08/2009,Coimbatore,77.25 (71.79)
29/08/2009,Tea Serve,69.39 (67.90)
22/08/2009,Kolkata,126.20 (102.00)
22/08/2009,Guwahati,114.15 (96.18)
22/08/2009,Siliguri,101.14 (89.13)
22/08/2009,Jalpaiguri,N.S.(N.S.)
22/08/2009,mjunction,
22/08/2009,Cochin,94.20 (81.64)
22/08/2009,Coonoor,72.27 (70.75)
22/08/2009,Coimbatore,76.49 (73.02)
22/08/2009,Tea Serve,67.87 (68.96)
15/08/2009,Kolkata,123.83 (100.64)
15/08/2009,Guwahati,113.56 (95.55)
15/08/2009,Siliguri,102.99 (88.31)
15/08/2009,Jalpaiguri,N.S.(N.S.)
15/08/2009,mjunction,
15/08/2009,Cochin,96.50 (81.39)
15/08/2009,Coonoor,70.51 (71.62)
15/08/2009,Coimbatore,75.35 (74.72)
15/08/2009,Tea Serve,67.58 (70.51)
08/08/2009,Kolkata,122.81 (98.50)
08/08/2009,Guwahati,112.15 (93.18)
08/08/2009,Siliguri,106.04 (87.57)
08/08/2009,Jalpaiguri,N.S.(N.S.)
08/08/2009,mjunction,
08/08/2009,Cochin,95.46 (76.23)
08/08/2009,Coonoor,69.52 (69.80)
08/08/2009,Coimbatore,74.30  (70.66)
08/08/2009,Tea Serve,68.64 (68.83)
01/08/2009,Kolkata,120.93 (97.27)
01/08/2009,Guwahati,112.08 (92.36)
01/08/2009,Siliguri,105.19 (87.63)
01/08/2009,Jalpaiguri,N.S.(N.S.)
01/08/2009,mjunction,
01/08/2009,Cochin,N.S.  (72.88)
01/08/2009,Coonoor,69.64 (67.21)
01/08/2009,Coimbatore,76.80  (68.90)
01/08/2009,Tea Serve,71.04 (65.90)
25/07/2009,Kolkata,120.67 (97.86)
25/07/2009,Guwahati,107.28 (91.84)
25/07/2009,Siliguri,102.15 (86.69)
25/07/2009,Jalpaiguri,N.S.(N.S.)
25/07/2009,mjunction,
25/07/2009,Cochin,94.40 (67.50)
25/07/2009,Coonoor,70.54 (63.98)
25/07/2009,Coimbatore,78.85  (65.86)
25/07/2009,Tea Serve,74.15 (64.08)
18/07/2009,Kolkata,124.59 (99.42)
18/07/2009,Guwahati,106.58 (91.65)
18/07/2009,Siliguri,103.72 (84.84)
18/07/2009,Jalpaiguri,N.S.(N.S.)
18/07/2009,mjunction,
18/07/2009,Cochin,87.75 (66.50)
18/07/2009,Coonoor,73.24 (62.36)
18/07/2009,Coimbatore,80.91 (63.07)
18/07/2009,Tea Serve,81.93 (62.16)
11/07/2009,Kolkata,127.35 (100.11)
11/07/2009,Guwahati,116.15 (92.86)
11/07/2009,Siliguri,107.48 (84.06)
11/07/2009,Jalpaiguri,N.S.(N.S.)
11/07/2009,mjunction,
11/07/2009,Cochin,85.36 (65.30)
11/07/2009,Coonoor,73.27 (61.74)
11/07/2009,Coimbatore,80.32 (62.67)
11/07/2009,Tea Serve,80.81 (61.95)
04/07/2009,Kolkata,128.69 (101.61)
04/07/2009,Guwahati,124.03 (93.22)
04/07/2009,Siliguri,110.79 (85.92)
04/07/2009,Jalpaiguri,N.S.(N.S.)
04/07/2009,mjunction,
04/07/2009,Cochin,85.16 (65.57)
04/07/2009,Coonoor,74.69 (61.45)
04/07/2009,Coimbatore,78.76 (63.73)
04/07/2009,Tea Serve,78.81 (63.01)
27/06/2009,Kolkata,130.26 (102.25)
27/06/2009,Guwahati,125.71 (94.94)
27/06/2009,Siliguri,116.34 (89.44)
27/06/2009,Jalpaiguri,N.S.(N.S.)
27/06/2009,mjunction,
27/06/2009,Cochin,86.83 (67.19)
27/06/2009,Coonoor,78.17 (62.68)
27/06/2009,Coimbatore,79.99 (63.39)
27/06/2009,Tea Serve,77.23 (61.77)
20/06/2009,Kolkata,130.70 (101.00)
20/06/2009,Guwahati,126.37 (95.82)
20/06/2009,Siliguri,122.52 (91.30)
20/06/2009,Jalpaiguri,N.S.(N.S.)
20/06/2009,mjunction,
20/06/2009,Cochin,84.91 (64.21)
20/06/2009,Coonoor,79.89 (61.96)
20/06/2009,Coimbatore,83.93 (62.23)
20/06/2009,Tea Serve,75.66 (61.68)
13/06/2009,Kolkata,130.55 (95.50)
13/06/2009,Guwahati,125.04 (93.95)
13/06/2009,Siliguri,122.77 (94.07)
13/06/2009,Jalpaiguri,N.S.(N.S.)
13/06/2009,mjunction,
13/06/2009,Cochin,86.70 (61.35)
13/06/2009,Coonoor,78.10 (60.62)
13/06/2009,Coimbatore,82.01 (60.20)
13/06/2009,Tea Serve,71.83 (60.28)
06/06/2009,Kolkata,134.80 (91.69)
06/06/2009,Guwahati,N.S.    (89.09)
06/06/2009,Siliguri,124.09 (92.96)
06/06/2009,Jalpaiguri,N.S.(N.S.)
06/06/2009,mjunction,
06/06/2009,Cochin,N.S.  (58.87)
06/06/2009,Coonoor,82.17 (60.23)
06/06/2009,Coimbatore,82.41 (59.40)
06/06/2009,Tea Serve,69.68 (58.57)
30/05/2009,Kolkata,140.00 (91.23)
30/05/2009,Guwahati,133.75 (87.17)
30/05/2009,Siliguri,131.76 (90.84)
30/05/2009,Jalpaiguri,N.S.(N.S.)
30/05/2009,mjunction,
30/05/2009,Cochin,92.08 (58.76)
30/05/2009,Coonoor,87.92 (57.93)
30/05/2009,Coimbatore,89.46 (57.73)
30/05/2009,Tea Serve,75.26 (56.32)
23/05/2009,Kolkata,139.96 (92.47)
23/05/2009,Guwahati,133.55 (87.21)
23/05/2009,Siliguri,136.78 (88.79)
23/05/2009,Jalpaiguri,N.S.(N.S.)
23/05/2009,mjunction,
23/05/2009,Cochin,N. S. (58.03)
23/05/2009,Coonoor,88.66 (57.02)
23/05/2009,Coimbatore,90.34 (57.36)
23/05/2009,Tea Serve,81.01 (55.51)
16/05/2009,Kolkata,137.33 (92.56)
16/05/2009,Guwahati,131.05 (87.31)
16/05/2009,Siliguri,130.00 (88.36)
16/05/2009,Jalpaiguri,N.S.(N.S.)
16/05/2009,mjunction,
16/05/2009,Cochin,N. S. (57.46)
16/05/2009,Coonoor,89.12 (55.15)
16/05/2009,Coimbatore,89.45 (54.30)
16/05/2009,Tea Serve,81.39 (53.52)
09/05/2009,Kolkata,133.97 (93.09)
09/05/2009,Guwahati,128.70 (87.51)
09/05/2009,Siliguri,124.07 (86.07)
09/05/2009,Jalpaiguri,N.S.(N.S.)
09/05/2009,mjunction,
09/05/2009,Cochin,90.76 (57.61)
09/05/2009,Coonoor,95.60 (55.11)
