week,location,average_price
01/07/2023,Kolkata,241.71(257.45)
01/07/2023,Guwahati,213.56(213.37)
01/07/2023,Siliguri,187.14(198.41)
01/07/2023,Jalpaiguri,NS(NS)
01/07/2023,mjunction,152.62(163.33)
01/07/2023,Cochin,131.42(124.4)
01/07/2023,Coonoor,94.79(75.58)
01/07/2023,Coimbatore,106.04(93.28)
01/07/2023,Tea Serve,87.19(68.49)
24/06/2023,Kolkata,235.75(258.02)
24/06/2023,Guwahati,213.03(213.88)
24/06/2023,Siliguri,186.53(203.85)
24/06/2023,Jalpaiguri,NS(NS)
24/06/2023,mjunction,190.59(251.88)
24/06/2023,Cochin,128.57(124.67)
24/06/2023,Coonoor,97.18(89.01)
24/06/2023,Coimbatore,105.73(92.81)
24/06/2023,Tea Serve,91.00(72.34)
17/06/2023,Kolkata,236.22(250.37)
17/06/2023,Guwahati,217.54(214.66)
17/06/2023,Siliguri,180.94(207.27)
17/06/2023,Jalpaiguri,NS(NS)
17/06/2023,mjunction,142.35(185.66)
17/06/2023,Cochin,129.21(119.26)
17/06/2023,Coonoor,96.58(76.32)
17/06/2023,Coimbatore,106.16(96.38)
17/06/2023,Tea Serve,89.22(74.12)
10/06/2023,Kolkata,225.96(212.26)
10/06/2023,Guwahati,215.78(199.63)
10/06/2023,Siliguri,180.21(202.03)
10/06/2023,Jalpaiguri,NS(NS)
10/06/2023,mjunction,163.69(191.91)
10/06/2023,Cochin,130.81(117.6)
10/06/2023,Coonoor,95.96(80.33)
10/06/2023,Coimbatore,106.77(94.81)
10/06/2023,Tea Serve,90.01(74.56)
03/06/2023,Kolkata,199.47(189.99)
03/06/2023,Guwahati,206.53(183.57)
03/06/2023,Siliguri,179.91(191.63)
03/06/2023,Jalpaiguri,NS(NS)
03/06/2023,mjunction,149.2(230.65)
03/06/2023,Cochin,131.33(120.37)
03/06/2023,Coonoor,93.26(84.15)
03/06/2023,Coimbatore,105.97(96.02)
03/06/2023,Tea Serve,90.31(74.54)
27/05/2023,Kolkata,186.28(187.06)
27/05/2023,Guwahati,193.01(176.16)
27/05/2023,Siliguri,182.67(180.78)
27/05/2023,Jalpaiguri,NS(NS)
27/05/2023,mjunction,171.88(152.05)
27/05/2023,Cochin,133.12(122.14)
27/05/2023,Coonoor,95.46(85.06)
27/05/2023,Coimbatore,110.05(95.75)
27/05/2023,Tea Serve,93.04(74.77)
20/05/2023,Kolkata,183.69(197.95)
20/05/2023,Guwahati,183.62(178.9)
20/05/2023,Siliguri,182.7(174.14)
20/05/2023,Jalpaiguri,NS(NS)
20/05/2023,mjunction,158.98(153)
20/05/2023,Cochin,134.61(126.87)
20/05/2023,Coonoor,99.93(85.66)
20/05/2023,Coimbatore,111.21(101.44)
20/05/2023,Tea Serve,95.97(78.46)
13/05/2023,Kolkata,194.3(197.65)
13/05/2023,Guwahati,190.91(184.87)
13/05/2023,Siliguri,181.91(175.92)
13/05/2023,Jalpaiguri,NS(NS)
13/05/2023,mjunction,158.89(172.29)
13/05/2023,Cochin,135.98(128.29)
13/05/2023,Coonoor,103.28(87.31)
13/05/2023,Coimbatore,115.51(99.62)
13/05/2023,Tea Serve,104.58(81.16)
06/05/2023,Kolkata,189.32(214.26)
06/05/2023,Guwahati,193.24(196.4)
06/05/2023,Siliguri,175.95(184.57)
06/05/2023,Jalpaiguri,NS(NS)
06/05/2023,mjunction,160.77(159.74)
06/05/2023,Cochin,138.95(133.23)
06/05/2023,Coonoor,107.34(89.01)
06/05/2023,Coimbatore,117.55(101.81)
06/05/2023,Tea Serve,107.99(79.72)
29/04/2023,Kolkata,200.11(238.82)
29/04/2023,Guwahati,200.93(216.77)
29/04/2023,Siliguri,176.79(203.41)
29/04/2023,Jalpaiguri,NS(NS)
29/04/2023,mjunction,201.24(198.7)
29/04/2023,Cochin,137.79(133.41)
29/04/2023,Coonoor,109.33(90.25)
29/04/2023,Coimbatore,120.78(102.49)
29/04/2023,Tea Serve,106.45(80.26)
22/04/2023,Kolkata,197.09(241.59)
22/04/2023,Guwahati,213.97(252.43)
22/04/2023,Siliguri,182.95(229.12)
22/04/2023,Jalpaiguri,NS(NS)
22/04/2023,mjunction,162.07(186.66)
22/04/2023,Cochin,138.16(135.64)
22/04/2023,Coonoor,110.92(91.05)
22/04/2023,Coimbatore,122.44(103.31)
22/04/2023,Tea Serve,104.91(79.29)
15/04/2023,Kolkata,184.54(236.8)
15/04/2023,Guwahati,222.77(277.84)
15/04/2023,Siliguri,188.18(227.47)
15/04/2023,Jalpaiguri,NS(NS)
15/04/2023,mjunction,226.70(199.62)
15/04/2023,Cochin,137.80(NS)
15/04/2023,Coonoor,108.61(91.42)
15/04/2023,Coimbatore,123.49(97.99)
15/04/2023,Tea Serve,105.15(80.37)
08/04/2023,Kolkata,199.49(225.79)
08/04/2023,Guwahati,215.23(249.70)
08/04/2023,Siliguri,201.48(265.10)
08/04/2023,Jalpaiguri,NS(NS)
08/04/2023,mjunction,193.93(NS)
08/04/2023,Cochin,NS(131.71)
08/04/2023,Coonoor,108.89(90.92)
08/04/2023,Coimbatore,123.11(99.95)
08/04/2023,Tea Serve,105.21(79.25)
01/04/2023,Kolkata,NS(NS)
01/04/2023,Guwahati,171.99(126.44)
01/04/2023,Siliguri,199.27(178.71)
01/04/2023,Jalpaiguri,NS(NS)
01/04/2023,mjunction,NS(NS)
01/04/2023,Cochin,139.84(136.26)
01/04/2023,Coonoor,110.02(89.86)
01/04/2023,Coimbatore,118.85(97.17)
01/04/2023,Tea Serve,107.84(80.78)
25/03/2023,Kolkata,149.89(144.31)
25/03/2023,Guwahati,139.38(NS)
25/03/2023,Siliguri,154.42(NS)
25/03/2023,Jalpaiguri,NS(NS)
25/03/2023,mjunction,NS(NS)
25/03/2023,Cochin,142.18(133.54)
25/03/2023,Coonoor,112.46(90.21)
25/03/2023,Coimbatore,124.26(98.1)
25/03/2023,Tea Serve,109.27(79.86)
18/03/2023,Kolkata,NS(NS)
18/03/2023,Guwahati,NS(NS)
18/03/2023,Siliguri,NS(NS)
18/03/2023,Jalpaiguri,NS(NS)
18/03/2023,mjunction,NS(NS)
18/03/2023,Cochin,142.8(134.07)
18/03/2023,Coonoor,113.71(88.97)
18/03/2023,Coimbatore,122.49(99.61)
18/03/2023,Tea Serve,106.86(81.34)
11/03/2023,Kolkata,140.14(NS)
11/03/2023,Guwahati,135.90(NS)
11/03/2023,Siliguri,139.16(NS)
11/03/2023,Jalpaiguri,NS(NS)
11/03/2023,mjunction,NS(100.59)
11/03/2023,Cochin,144.67(136.57)
11/03/2023,Coonoor,114.55(92.25)
11/03/2023,Coimbatore,125.58(102.56)
11/03/2023,Tea Serve,108.45(84.89)
04/03/2023,Kolkata,149.57(NS)
04/03/2023,Guwahati,134.52(129.76)
04/03/2023,Siliguri,130.25(NS)
