week,location,average_price
31/12/2022,Kolkata,180.61(191.56)
31/12/2022,Guwahati,155.85(162.42)
31/12/2022,Siliguri,154.78(165.34)
31/12/2022,Jalpaiguri,NS(NS)
31/12/2022,mjunction,123.40(144.13)
31/12/2022,Cochin,NS(NS)
31/12/2022,Coonoor,112.13(NS)
31/12/2022,Coimbatore,NS(NS)
31/12/2022,Tea Serve,104.56(NS)
24/12/2022,Kolkata,184.51(195.20)
24/12/2022,Guwahati,160.73(167.91)
24/12/2022,Siliguri,158.95(172.21)
24/12/2022,Jalpaiguri,NS(NS)
24/12/2022,mjunction,148.94(158.49)
24/12/2022,Cochin,139.19(137.55)
24/12/2022,Coonoor,111.37(94.21)
24/12/2022,Coimbatore,119.02(111.38)
24/12/2022,Tea Serve,103.79(86.98)
17/12/2022,Kolkata,183.74(192.17)
17/12/2022,Guwahati,162.55(175.77)
17/12/2022,Siliguri,166.57(178.90)
17/12/2022,Jalpaiguri,NS(NS)
17/12/2022,mjunction,131.39(160.55)
17/12/2022,Cochin,133.14(131.83)
17/12/2022,Coonoor,109.70(94.01)
17/12/2022,Coimbatore,115.58(107.15)
17/12/2022,Tea Serve,99.52(86.83)
10/12/2022,Kolkata,192.30(201.17)
10/12/2022,Guwahati,172.12(178.89)
10/12/2022,Siliguri,172.28(179.26)
10/12/2022,Jalpaiguri,NS(NS)
10/12/2022,mjunction,153.94(143.40)
10/12/2022,Cochin,132.28(125.48)
10/12/2022,Coonoor,107.47(97.54)
10/12/2022,Coimbatore,111.85(106.23)
10/12/2022,Tea Serve,97.11(86.95)
03/12/2022,Kolkata,196.36(209.80)
03/12/2022,Guwahati,175.94(181.62)
03/12/2022,Siliguri,169.76(169.49)
03/12/2022,Jalpaiguri,NS(NS)
03/12/2022,mjunction,141.25(136.55)
03/12/2022,Cochin,134.92(125.33)
03/12/2022,Coonoor,109.60(97.42)
03/12/2022,Coimbatore,114.82(99.00)
03/12/2022,Tea Serve,99.33(83.77)
26/11/2022,Kolkata,204.60(224.98)
26/11/2022,Guwahati,181.44(185.18)
26/11/2022,Siliguri,167.87(170.54)
26/11/2022,Jalpaiguri,NS(NS)
26/11/2022,mjunction,160.96(148.79)
26/11/2022,Cochin,135.27(125.57)
26/11/2022,Coonoor,112.21(96.12)
26/11/2022,Coimbatore,118.85(100.66)
26/11/2022,Tea Serve,102.97(81.61)
19/11/2022,Kolkata,206.67(223.46)
19/11/2022,Guwahati,184.06(185.48)
19/11/2022,Siliguri,170.99(180.46)
19/11/2022,Jalpaiguri,NS(NS)
19/11/2022,mjunction,NS(131.28)
19/11/2022,Cochin,138.05(126.65)
19/11/2022,Coonoor,114.55(92.14)
19/11/2022,Coimbatore,120.42(98.24)
19/11/2022,Tea Serve,108.87(78.55)
12/11/2022,Kolkata,214.24(205.26)
12/11/2022,Guwahati,188.18(187.18)
12/11/2022,Siliguri,172.92(186.85)
12/11/2022,Jalpaiguri,NS(NS)
12/11/2022,mjunction,147.10(138.88)
12/11/2022,Cochin,138.94(123.52)
12/11/2022,Coonoor,114.44(89.50)
12/11/2022,Coimbatore,123.02(92.99)
12/11/2022,Tea Serve,106.58(76.70)
05/11/2022,Kolkata,209.49(209.17)
05/11/2022,Guwahati,194.02(186.43)
05/11/2022,Siliguri,179.15(190.14)
05/11/2022,Jalpaiguri,NS(NS)
05/11/2022,mjunction,NS(145.62)
05/11/2022,Cochin,136.82(122.42)
05/11/2022,Coonoor,111.77(88.07)
05/11/2022,Coimbatore,117.48(NS)
05/11/2022,Tea Serve,101.22(74.23)
29/10/2022,Kolkata,225.98(203.09)
29/10/2022,Guwahati,195.48(177.17)
29/10/2022,Siliguri,184.07(176.53)
29/10/2022,Jalpaiguri,NS(NS)
29/10/2022,mjunction,158.58(140.03)
29/10/2022,Cochin,135.07(126.17)
29/10/2022,Coonoor,106.58(85.58)
29/10/2022,Coimbatore,NS(91.10)
29/10/2022,Tea Serve,93.75(71.75)
22/10/2022,Kolkata,218.39(211.73)
22/10/2022,Guwahati,203.47(176.98)
22/10/2022,Siliguri,185.36(175.62)
22/10/2022,Jalpaiguri,NS(NS)
22/10/2022,mjunction,120.93(NS)
22/10/2022,Cochin,130.04(123.62)
22/10/2022,Coonoor,102.40(83.05)
22/10/2022,Coimbatore,110.92(91.68)
22/10/2022,Tea Serve,85.98(76.66)
15/10/2022,Kolkata,216.64(NS)
15/10/2022,Guwahati,201.39(NS)
15/10/2022,Siliguri,181.29(NS)
15/10/2022,Jalpaiguri,NS(NS)
15/10/2022,mjunction,157.05(149.51)
15/10/2022,Cochin,131.03(118.36)
15/10/2022,Coonoor,98.31(84.86)
15/10/2022,Coimbatore,112.55(89.75)
15/10/2022,Tea Serve,85.60(76.53)
08/10/2022,Kolkata,NS(208.58)
08/10/2022,Guwahati,NS(172.81)
08/10/2022,Siliguri,NS(153.22)
08/10/2022,Jalpaiguri,NS(NS)
08/10/2022,mjunction,NS(147.83)
08/10/2022,Cochin,131.33(117.03)
08/10/2022,Coonoor,96.97(86.30)
08/10/2022,Coimbatore,111.87(89.91)
08/10/2022,Tea Serve,86.26(78.22)
01/10/2022,Kolkata,212.43(210.54)
01/10/2022,Guwahati,193.12(180.46)
01/10/2022,Siliguri,175.35(161.56)
01/10/2022,Jalpaiguri,NS(NS)
01/10/2022,mjunction,176.93(116.82)
01/10/2022,Cochin,135.56(118.64)
01/10/2022,Coonoor,100.09(89.50)
01/10/2022,Coimbatore,111.08(95.31)
01/10/2022,Tea Serve,90.21(81.69)
24/09/2022,Kolkata,215.71(210.30)
24/09/2022,Guwahati,195.06(177.76)
24/09/2022,Siliguri,169.95(161.88)
24/09/2022,Jalpaiguri,NS(NS)
24/09/2022,mjunction,156.40(142.91)
24/09/2022,Cochin,138.81(120.20)
24/09/2022,Coonoor,98.97(91.16)
24/09/2022,Coimbatore,113.02(95.96)
24/09/2022,Tea Serve,91.55(79.51)
17/09/2022,Kolkata,227.83(203.95)
17/09/2022,Guwahati,202.41(181.04)
17/09/2022,Siliguri,173.07(164.62)
17/09/2022,Jalpaiguri,NS(NS)
17/09/2022,mjunction,183.01(152.84)
17/09/2022,Cochin,139.92(119.33)
17/09/2022,Coonoor,97.15(92.86)
17/09/2022,Coimbatore,114.42(95.85)
17/09/2022,Tea Serve,94.25(78.95)
10/09/2022,Kolkata,235.43(204.70)
10/09/2022,Guwahati,212.39(174.56)
10/09/2022,Siliguri,182.92(168.68)
10/09/2022,Jalpaiguri,NS(NS)
10/09/2022,mjunction,163.41(147.89)
10/09/2022,Cochin,NS(117.78)
10/09/2022,Coonoor,97.70(92.78)
10/09/2022,Coimbatore,107.18(97.42)
10/09/2022,Tea Serve,91.85(78.80)
03/09/2022,Kolkata,245.11(211.73)
03/09/2022,Guwahati,216.24(172.35)
03/09/2022,Siliguri,185.75(169.57)
03/09/2022,Jalpaiguri,NS(NS)
03/09/2022,mjunction,167.52(143.74)
03/09/2022,Cochin,145.59(123.61)
03/09/2022,Coonoor,96.08(94.04)
03/09/2022,Coimbatore,106.52(98.15)
03/09/2022,Tea Serve,88.21(75.35)
27/08/2022,Kolkata,245.61(210.48)
27/08/2022,Guwahati,212.01(170.71)
27/08/2022,Siliguri,182.06(173.78)
27/08/2022,Jalpaiguri,NS(NS)
27/08/2022,mjunction,173.79(135.57)
27/08/2022,Cochin,142.78(123.83)
27/08/2022,Coonoor,94.80(92.24)
27/08/2022,Coimbatore,104.87(101.57)
27/08/2022,Tea Serve,82.00(74.54)
20/08/2022,Kolkata,244.30(220.83)
20/08/2022,Guwahati,210.90(173.40)
20/08/2022,Siliguri,181.52(169.84)
20/08/2022,Jalpaiguri,NS(NS)
20/08/2022,mjunction,162.97(148.44)
20/08/2022,Cochin,145.41(NS)
20/08/2022,Coonoor,90.16(90.79)
20/08/2022,Coimbatore,100.52(101.68)
20/08/2022,Tea Serve,80.83(79.21)
13/08/2022,Kolkata,245.05(211.27)
13/08/2022,Guwahati,211.61(173.36)
13/08/2022,Siliguri,187.41(169.29)
13/08/2022,Jalpaiguri,NS(NS)
13/08/2022,mjunction,169.27(148.41)
13/08/2022,Cochin,139.06(119.64)
13/08/2022,Coonoor,86.95(89.50)
13/08/2022,Coimbatore,99.01(101.24)
13/08/2022,Tea Serve,80.33(76.95)
06/08/2022,Kolkata,250.88(210.38)
06/08/2022,Guwahati,209.95(175.63)
06/08/2022,Siliguri,188.79(178.66)
06/08/2022,Jalpaiguri,NS(NS)
06/08/2022,mjunction,169.72(145.00)
06/08/2022,Cochin,132.98(120.20)
06/08/2022,Coonoor,85.65(88.97)
06/08/2022,Coimbatore,100.12(100.70)
06/08/2022,Tea Serve,79.13(79.64)
30/07/2022,Kolkata,250.86(213.93)
30/07/2022,Guwahati,215.11(180.71)
30/07/2022,Siliguri,188.67(177.25)
30/07/2022,Jalpaiguri,NS(NS)
30/07/2022,mjunction,160.11(193.62)
30/07/2022,Cochin,131.94(118.01)
30/07/2022,Coonoor,86.41(91.52)
30/07/2022,Coimbatore,96.85(101.26)
30/07/2022,Tea Serve,73.69(80.47)
23/07/2022,Kolkata,240.99(214.17)
23/07/2022,Guwahati,207.12(183.67)
23/07/2022,Siliguri,181.92(185.05)
23/07/2022,Jalpaiguri,NS(NS)
23/07/2022,mjunction,192.42(152.80)
23/07/2022,Cochin,129.86(117.95)
23/07/2022,Coonoor,82.71(90.64)
