week,location,average_price
25/12/2021,Kolkata,195.20(183.61)
25/12/2021,Guwahati,167.91(160.80)
25/12/2021,Siliguri,172.21(164.48)
25/12/2021,Jalpaiguri,NS(NS)
25/12/2021,mjunction,158.49(128.08)
25/12/2021,Cochin,137.55(171.84)
25/12/2021,Coonoor,94.21(112.94)
25/12/2021,Coimbatore,111.38(130.42)
25/12/2021,Tea Serve,86.98(99.16)
18/12/2021,Kolkata,192.17(176.24)
18/12/2021,Guwahati,175.77(157.43)
18/12/2021,Siliguri,178.90(160.59)
18/12/2021,Jalpaiguri,NS(NS)
18/12/2021,mjunction,160.55(126.37)
18/12/2021,Cochin,131.83(170.61)
18/12/2021,Coonoor,94.01(110.74)
18/12/2021,Coimbatore,107.15(129.53)
18/12/2021,Tea Serve,86.83(99.10)
11/12/2021,Kolkata,201.17(176.11)
11/12/2021,Guwahati,178.89(165.85)
11/12/2021,Siliguri,179.26(157.84)
11/12/2021,Jalpaiguri,NS(NS)
11/12/2021,mjunction,143.40(140.03)
11/12/2021,Cochin,125.48(173.74)
11/12/2021,Coonoor,97.54(107.07)
11/12/2021,Coimbatore,106.23(137.50)
11/12/2021,Tea Serve,86.95(98.32)
04/12/2021,Kolkata,209.80(181.13)
04/12/2021,Guwahati,181.62(163.78)
04/12/2021,Siliguri,169.49(158.00)
04/12/2021,Jalpaiguri,NS(NS)
04/12/2021,mjunction,136.55(111.00)
04/12/2021,Cochin,125.33(185.58)
04/12/2021,Coonoor,97.42(108.56)
04/12/2021,Coimbatore,99.00(136.99)
04/12/2021,Tea Serve,83.77(133.38)
27/11/2021,Kolkata,224.98(186.52)
27/11/2021,Guwahati,185.18(168.80)
27/11/2021,Siliguri,170.54(156.82)
27/11/2021,Jalpaiguri,NS(NS)
27/11/2021,mjunction,148.79(162.33)
27/11/2021,Cochin,125.57(197.97)
27/11/2021,Coonoor,96.12(128.93)
27/11/2021,Coimbatore,100.66(160.31)
27/11/2021,Tea Serve,81.61(128.13)
20/11/2021,Kolkata,223.46(190.86)
20/11/2021,Guwahati,185.48(176.33)
20/11/2021,Siliguri,180.46(162.12)
20/11/2021,Jalpaiguri,NS(NS)
20/11/2021,mjunction,131.28(161.82)
20/11/2021,Cochin,126.65(196.09)
20/11/2021,Coonoor,92.14(141.61)
20/11/2021,Coimbatore,98.24(159.01)
20/11/2021,Tea Serve,78.55(136.26)
13/11/2021,Kolkata,205.26(216.65)
13/11/2021,Guwahati,187.18(186.39)
13/11/2021,Siliguri,186.85(174.94)
13/11/2021,Jalpaiguri,NS(NS)
13/11/2021,mjunction,138.88(180.10)
13/11/2021,Cochin,123.52(195.57)
13/11/2021,Coonoor,89.50(NS)
13/11/2021,Coimbatore,92.99(NS)
13/11/2021,Tea Serve,76.70(137.67)
06/11/2021,Kolkata,209.17(223.97)
