week,location,average_price
27/12/2014,Kolkata,154.00(143.77)
27/12/2014,Guwahati,126.21(117.81)
27/12/2014,Siliguri,123.58(123.35)
27/12/2014,Jalpaiguri,NS(NS)
27/12/2014,mjunction,
27/12/2014,Cochin,NS(NS)
27/12/2014,Coonoor,NS(NS)
27/12/2014,Coimbatore,NS(NS)
27/12/2014,Tea Serve,NS(NS)
20/12/2014,Kolkata,163.07(143.51)
20/12/2014,Guwahati,125.90(118.65)
20/12/2014,Siliguri,120.92(120.25)
20/12/2014,Jalpaiguri,NS(NS)
20/12/2014,mjunction,
20/12/2014,Cochin,101.03(98.56)
20/12/2014,Coonoor,68.65(73.19)
20/12/2014,Coimbatore,74.65(80.36)
20/12/2014,Tea Serve,49.74(76.66)
13/12/2014,Kolkata,162.89(146.96)
13/12/2014,Guwahati,133.06(121.76)
13/12/2014,Siliguri,120.28(125.78)
13/12/2014,Jalpaiguri,NS(NS)
13/12/2014,mjunction,
13/12/2014,Cochin,96.27(96.62)
13/12/2014,Coonoor,65.53(71.78)
13/12/2014,Coimbatore,75.23(79.85)
13/12/2014,Tea Serve,49.87(76.89)
06/12/2014,Kolkata,167.18(152.31)
06/12/2014,Guwahati,133.87(124.54)
06/12/2014,Siliguri,120.98(120.67)
06/12/2014,Jalpaiguri,NS(NS)
06/12/2014,mjunction,
06/12/2014,Cochin,91.82(95.38)
06/12/2014,Coonoor,63.99(72.31)
06/12/2014,Coimbatore,75.18(81.18)
06/12/2014,Tea Serve,50.13(75.60)
29/11/2014,Kolkata,164.65(153.33)
29/11/2014,Guwahati,135.22(124.02)
29/11/2014,Siliguri,122.26(123.10)
29/11/2014,Jalpaiguri,NS(NS)
29/11/2014,mjunction,
29/11/2014,Cochin,90.26(100.54)
29/11/2014,Coonoor,62.33(74.34)
29/11/2014,Coimbatore,73.40(80.88)
29/11/2014,Tea Serve,49.15(75.05)
22/11/2014,Kolkata,164.80(146.15)
22/11/2014,Guwahati,135.24(126.04)
22/11/2014,Siliguri,128.12(126.57)
22/11/2014,Jalpaiguri,NS(NS)
22/11/2014,mjunction,
22/11/2014,Cochin,86.00(103.56)
22/11/2014,Coonoor,61.42(76.15)
