week,location,average_price
29/12/2012,Kolkata,145.47(124.07)
29/12/2012,Guwahati,131.33(97.82)
29/12/2012,Siliguri,122.91(101.76)
29/12/2012,Jalpaiguri,98.99(N.S.)
29/12/2012,mjunction,
29/12/2012,Cochin,N.S.(N.S.)
29/12/2012,Coonoor,N.S.(N.S.)
29/12/2012,Coimbatore,N.S.(N.S.)
29/12/2012,Tea Serve,N.S.(N.S.)
22/12/2012,Kolkata,145.30(121.55)
22/12/2012,Guwahati,133.74(97.94)
22/12/2012,Siliguri,126.51(103.80)
22/12/2012,Jalpaiguri,103.02(N.S.)
22/12/2012,mjunction,
22/12/2012,Cochin,103.74(80.74)
22/12/2012,Coonoor,97.88(64.22)
22/12/2012,Coimbatore,96.88(66.23)
22/12/2012,Tea Serve,99.46(62.24)
15/12/2012,Kolkata,146.65(118.86)
15/12/2012,Guwahati,138.22(96.50)
15/12/2012,Siliguri,126.77(99.38)
15/12/2012,Jalpaiguri,103.02(N.S.)
15/12/2012,mjunction,
15/12/2012,Cochin,103.25(79.51)
15/12/2012,Coonoor,95.82(61.63)
15/12/2012,Coimbatore,95.84(65.04)
15/12/2012,Tea Serve,95.91(61.33)
08/12/2012,Kolkata,146.89(122.54)
08/12/2012,Guwahati,134.98(101.41)
08/12/2012,Siliguri,127.77(96.60)
08/12/2012,Jalpaiguri,103.55(N.S.)
08/12/2012,mjunction,
08/12/2012,Cochin,101.03(79.39)
08/12/2012,Coonoor,93.99(59.57)
08/12/2012,Coimbatore,93.35(64.55)
08/12/2012,Tea Serve,91.81(58.85)
01/12/2012,Kolkata,148.97(127.40)
01/12/2012,Guwahati,133.42(101.55)
01/12/2012,Siliguri,128.94(95.56)
01/12/2012,Jalpaiguri,105.07(N.S.)
01/12/2012,mjunction,
01/12/2012,Cochin,99.60(79.70)
01/12/2012,Coonoor,93.50(59.31)
01/12/2012,Coimbatore,93.28(63.54)
01/12/2012,Tea Serve,92.39(57.88)
24/11/2012,Kolkata,151.77(123.35)
24/11/2012,Guwahati,134.58(105.74)
24/11/2012,Siliguri,129.38(100.06)
24/11/2012,Jalpaiguri,104.67(N.S.)
24/11/2012,mjunction,
24/11/2012,Cochin,97.39(80.71)
24/11/2012,Coonoor,92.37(60.22)
24/11/2012,Coimbatore,92.77(64.77)
24/11/2012,Tea Serve,89.49(56.37)
17/11/2012,Kolkata,149.59(124.22)
17/11/2012,Guwahati,135.22(104.41)
17/11/2012,Siliguri,126.30(104.16)
17/11/2012,Jalpaiguri,100.71(N.S.)
17/11/2012,mjunction,
17/11/2012,Cochin,96.76(79.95)
17/11/2012,Coonoor,89.27(61.88)
17/11/2012,Coimbatore,N.S.(65.16)
17/11/2012,Tea Serve,87.91(56.11)
10/11/2012,Kolkata,150.00(126.11)
10/11/2012,Guwahati,131.32(109.60)
10/11/2012,Siliguri,122.44(104.50)
10/11/2012,Jalpaiguri,98.93(N.S.)
10/11/2012,mjunction,
10/11/2012,Cochin,95.50(79.94)
10/11/2012,Coonoor,87.61(63.06)
10/11/2012,Coimbatore,89.23(66.39)
10/11/2012,Tea Serve,83.62(60.91)
03/11/2012,Kolkata,145.61(126.16)
03/11/2012,Guwahati,129.20(109.80)
03/11/2012,Siliguri,120.08(103.47)
03/11/2012,Jalpaiguri,96.52(N.S.)
03/11/2012,mjunction,
03/11/2012,Cochin,95.61(80.88)
03/11/2012,Coonoor,83.90(63.37)
03/11/2012,Coimbatore,87.27(68.84)
03/11/2012,Tea Serve,82.04(61.88)
27/10/2012,Kolkata,N.S.(126.83)
27/10/2012,Guwahati,N.S.(114.64)
27/10/2012,Siliguri,N.S.(99.51)
27/10/2012,Jalpaiguri,N.S.(N.S.)
27/10/2012,mjunction,
27/10/2012,Cochin,95.87(82.23)
27/10/2012,Coonoor,83.07(65.55)
27/10/2012,Coimbatore,87.22(N.S.)
27/10/2012,Tea Serve,84.82(60.17)
20/10/2012,Kolkata,147.22(125.23)
20/10/2012,Guwahati,127.64(111.19)
20/10/2012,Siliguri,113.36(99.97)
20/10/2012,Jalpaiguri,94.49(N.S.)
20/10/2012,mjunction,
20/10/2012,Cochin,96.37(85.45)
20/10/2012,Coonoor,84.38(67.08)
20/10/2012,Coimbatore,86.88(72.09)
20/10/2012,Tea Serve,84.98(58.77)
13/10/2012,Kolkata,146.07(127.88)
13/10/2012,Guwahati,130.98(110.38)
13/10/2012,Siliguri,113.75(97.75)
13/10/2012,Jalpaiguri,95.27(N.S.)
13/10/2012,mjunction,
13/10/2012,Cochin,97.21(89.74)
13/10/2012,Coonoor,83.76(67.47)
13/10/2012,Coimbatore,86.65(71.11)
13/10/2012,Tea Serve,82.96(63.54)
06/10/2012,Kolkata,N.S.(N.S.)
06/10/2012,Guwahati,133.24(N.S.)
06/10/2012,Siliguri,113.36(N.S.)
06/10/2012,Jalpaiguri,97.62(N.S.)
06/10/2012,mjunction,
06/10/2012,Cochin,98.20(94.45)
06/10/2012,Coonoor,84.46(68.30)
06/10/2012,Coimbatore,87.92(74.02)
06/10/2012,Tea Serve,83.31(62.26)
29/09/2012,Kolkata,144.86(129.41)
29/09/2012,Guwahati,135.26(112.61)
29/09/2012,Siliguri,112.58(90.75)
29/09/2012,Jalpaiguri,96.20(N.S.)
29/09/2012,mjunction,
29/09/2012,Cochin,99.31(91.78)
29/09/2012,Coonoor,87.22(67.92)
29/09/2012,Coimbatore,88.49(68.45)
29/09/2012,Tea Serve,83.94(60.47)
22/09/2012,Kolkata,146.99(129.12)
22/09/2012,Guwahati,136.01(108.56)
22/09/2012,Siliguri,117.89(94.70)
22/09/2012,Jalpaiguri,100.96(N.S.)
22/09/2012,mjunction,
22/09/2012,Cochin,99.18(88.34)
22/09/2012,Coonoor,88.77(65.26)
22/09/2012,Coimbatore,91.44(69.17)
22/09/2012,Tea Serve,87.24(56.80)
15/09/2012,Kolkata,149.61(124.09)
15/09/2012,Guwahati,136.53(111.82)
15/09/2012,Siliguri,119.97(97.89)
15/09/2012,Jalpaiguri,106.72(N.S.)
15/09/2012,mjunction,
15/09/2012,Cochin,98.84(83.19)
15/09/2012,Coonoor,92.12(62.64)
15/09/2012,Coimbatore,93.07(66.53)
15/09/2012,Tea Serve,88.13(55.65)
08/09/2012,Kolkata,147.33(125.08)
08/09/2012,Guwahati,139.07(110.45)
08/09/2012,Siliguri,121.68(102.12)
08/09/2012,Jalpaiguri,105.08(N.S.)
08/09/2012,mjunction,
08/09/2012,Cochin,96.05(N.S.)
08/09/2012,Coonoor,91.72(60.56)
08/09/2012,Coimbatore,93.24(64.09)
08/09/2012,Tea Serve,89.27(55.36)
01/09/2012,Kolkata,148.24(126.50)
01/09/2012,Guwahati,138.96(109.15)
01/09/2012,Siliguri,122.95(97.5)
01/09/2012,Jalpaiguri,107.08(N.S.)
01/09/2012,mjunction,
01/09/2012,Cochin,N.S.(82.02)
01/09/2012,Coonoor,90.19(59.50)
01/09/2012,Coimbatore,91.41(63.23)
01/09/2012,Tea Serve,86.75(56.11)
25/08/2012,Kolkata,151.27(125.23)
25/08/2012,Guwahati,142.04(110.82)
25/08/2012,Siliguri,125.24(102.59)
25/08/2012,Jalpaiguri,107.66(N.S.)
25/08/2012,mjunction,
25/08/2012,Cochin,93.87(80.09)
25/08/2012,Coonoor,87.54(59.03)
25/08/2012,Coimbatore,89.68(63.47)
25/08/2012,Tea Serve,87.48(54.64)
18/08/2012,Kolkata,149.78(126.04)
18/08/2012,Guwahati,141.10(111.48)
18/08/2012,Siliguri,124.41(101.42)
18/08/2012,Jalpaiguri,108.69(N.S.)
18/08/2012,mjunction,
18/08/2012,Cochin,95.17(77.47)
18/08/2012,Coonoor,84.65(57.80)
18/08/2012,Coimbatore,87.25(62.40)
18/08/2012,Tea Serve,85.96(53.59)
11/08/2012,Kolkata,151.48(126.60)
11/08/2012,Guwahati,143.23(111.70)
11/08/2012,Siliguri,126.34(104.61)
11/08/2012,Jalpaiguri,110.28(N.S.)
11/08/2012,mjunction,
11/08/2012,Cochin,95.84(78.20)
11/08/2012,Coonoor,84.32(56.65)
11/08/2012,Coimbatore,86.11(60.51)
11/08/2012,Tea Serve,85.59(54.58)
04/08/2012,Kolkata,152.58(125.91)
04/08/2012,Guwahati,143.48(111.17)
04/08/2012,Siliguri,127.63(105.72)
04/08/2012,Jalpaiguri,107.42(N.S.)
04/08/2012,mjunction,
04/08/2012,Cochin,97.03(75.99)
04/08/2012,Coonoor,81.44(55.91)
04/08/2012,Coimbatore,84.78(59.57)
04/08/2012,Tea Serve,83.85(53.14)
28/07/2012,Kolkata,154.80(125.85)
28/07/2012,Guwahati,142.38(118.42)
28/07/2012,Siliguri,128.59(109.36)
28/07/2012,Jalpaiguri,113.15(N.S.)
28/07/2012,mjunction,
28/07/2012,Cochin,95.79(75.34)
28/07/2012,Coonoor,78.58(56.64)
28/07/2012,Coimbatore,82.68(59.41)
28/07/2012,Tea Serve,80.22(53.75)
21/07/2012,Kolkata,154.41(135.41)
21/07/2012,Guwahati,144.16(122.06)
21/07/2012,Siliguri,129.3(112.84)
21/07/2012,Jalpaiguri,110.40(N.S.)
21/07/2012,mjunction,
21/07/2012,Cochin,94.26(75.14)
21/07/2012,Coonoor,77.23(56.67)
21/07/2012,Coimbatore,80.73(58.44)
21/07/2012,Tea Serve,80.06(53.69)
14/07/2012,Kolkata,157.21(135.67)
14/07/2012,Guwahati,143.41(126.51)
14/07/2012,Siliguri,127.43(113.36)
